1,行く,go,[いく]
2,見る,"see, look at",[みる]
3,多い,"a lot of, many",[おおい]
4,家,"home, household",[うち]
5,これ,"this, this one",
6,それ,"that, that one",
7,私,I (general),[わたし]
8,仕事,"work, job",[しごと]
9,いつ,when,
10,する,"do, make",
11,出る,"go out, leave",[でる]
12,使う,"use, make use of",[つかう]
13,所,place,[ところ]
14,作る,"make, create",[つくる]
15,思う,think,[おもう]
16,持つ,"have, possess",[もつ]
17,買う,buy,[かう]
18,時間,"time, hour",[じかん]
19,知る,know,[しる]
20,同じ,"same, identical",[おなじ]
21,今,now,[いま]
22,新しい,new,[あたらしい]
23,なる,become,
24,まだ,"(not) yet, still",
25,あと,after,
26,聞く,"hear, ask, listen",[きく]
27,言う,"say, tell",[いう]
28,少ない,"few, little",[すくない]
29,高い,"high, tall",[たかい]
30,子供,child,[こども]
31,そう,"so, that way",
32,もう,"already, yet",
33,学生,student,[がくせい]
34,熱い,hot (to touch),[あつい]
35,どうぞ,please,
36,午後,"afternoon, p.m.",[ごご]
37,長い,long,[ながい]
38,本,book,[ほん]
39,今年,this year (colloquial),[ことし]
40,よく,"often, well",
41,彼女,"she, girlfriend",[かのじょ]
42,どう,"how, what",
43,言葉,"word, language",[ことば]
44,顔,face,[かお]
45,終わる,"finish, end",[おわる]
46,一つ,one (thing),[ひとつ]
47,あげる,"give, offer (colloquial)",
48,こう,"like this, such",
49,学校,school,[がっこう]
50,くれる,be given,
51,始める,start (something),[はじめる]
52,起きる,"get up, get out of bed",[おきる]
53,春,spring,[はる]
54,午前,"morning, a.m.",[ごぜん]
55,別,"another, different",[べつ]
56,どこ,where,
57,部屋,room,[へや]
58,若い,young,[わかい]
59,車,"car, automobile",[くるま]
60,置く,"put, place",[おく]
61,住む,"live, reside",[すむ]
62,働く,work,[はたらく]
63,難しい,difficult,[むずかしい]
64,先生,teacher (colloquial),[せんせい]
65,立つ,"stand, rise",[たつ]
66,呼ぶ,"call, name",[よぶ]
67,大学,"university, college",[だいがく]
68,安い,"cheap, inexpensive",[やすい]
69,もっと,more,
70,帰る,go back home,[かえる]
71,分かる,understand,[わかる]
72,広い,"wide, big",[ひろい]
73,数,number,[かず]
