1,上,Above
2,下,Below
3,大,Big
4,工,Construction
5,八,Eight
6,入,Enter
7,山,Mountain
8,口,Mouth
9,九,Nine
10,一,One
11,人,Person
12,力,Power
13,川,River
14,七,Seven
15,十,Ten
16,三,Three
17,二,Two
18,女,Woman
19,又,Again
20,玉,Ball
21,本,Book
22,子,Child
23,丸,Circle
24,正,Correct
25,土,Dirt
26,犬,Dog
27,夕,Evening
28,出,Exit
29,目,Eye
30,了,Finish
31,火,Fire
32,五,Five
33,四,Four
34,才,Genius
35,手,Hand
36,天,Heaven
37,王,King
38,左,Left
39,中,Middle
40,月,Moon
41,々,Repeater
42,田,Rice Paddy
43,右,Right
44,六,Six
45,小,Small
46,立,Stand
47,丁,Street
48,日,Sun
49,刀,Sword
50,千,Thousand
51,木,Tree
52,水,Water
53,白,White
54,文,Writing
55,円,Yen
56,矢,Arrow
57,市,City
58,牛,Cow
59,切,Cut
60,方,Direction
61,戸,Door
62,太,Fat
63,父,Father
64,少,Few
65,友,Friend
66,毛,Fur
67,半,Half
68,心,Heart
69,内,Inside
70,生,Life
71,台,Machine
72,母,Mother
73,午,Noon
74,北,North
75,今,Now
76,古,Old
77,元,Origin
78,外,Outside
79,分,Part
80,公,Public
81,引,Pull
82,止,Stop
83,用,Task
84,万,Ten Thousand
85,広,Wide
86,冬,Winter
87,竹,Bamboo
88,車,Car
89,央,Center
90,写,Copy
91,仕,Doing
92,耳,Ear
93,早,Early
94,気,Energy
95,平,Flat
96,花,Flower
97,足,Foot
98,打,Hit
99,百,Hundred
100,氷,Ice
101,虫,Insect
102,字,Letter
103,男,Man
104,主,Master
105,名,Name
106,不,Not
107,号,Number
108,他,Other
109,去,Past
110,皿,Plate
111,先,Previous
112,赤,Red
113,休,Rest
114,申,Say Humbly
115,見,See
116,貝,Shellfish
117,石,Stone
118,代,Substitute
119,礼,Thanks
120,糸,Thread
121,町,Town
122,宝,Treasure
123,村,Village
124,世,World
125,年,Year
126,角,Angle
127,斤,Axe
128,青,Blue
129,体,Body
130,色,Color
131,来,Come
132,社,Company
133,当,Correct
134,図,Diagram
135,毎,Every
136,羽,Feather
137,林,Forest
138,行,Go
139,金,Gold
140,草,Grass
141,里,Hometown
142,作,Make
143,多,Many
144,肉,Meat
145,会,Meet
146,交,Mix
147,近,Near
148,兄,Older Brother
149,雨,Rain
150,米,Rice
151,走,Run
152,同,Same
153,言,Say
154,自,Self
155,形,Shape
156,皮,Skin
157,空,Sky
158,音,Sound
159,学,Study
160,光,Sunlight
161,考,Think
162,回,Times
163,谷,Valley
164,声,Voice
165,西,West
166,何,What
167,麦,Wheat
168,弟,Younger Brother
169,全,All
170,後,Behind
171,血,Blood
172,両,Both
173,明,Bright
174,京,Capital
175,化,Change
176,国,Country
177,科,Course
178,死,Death
179,亡,Death
180,画,Drawing
181,地,Earth
182,東,East
183,食,Eat
184,直,Fix
185,前,Front
186,有,Have
187,私,I
188,知,Know
189,活,Lively
190,長,Long
191,曲,Music
192,首,Neck
193,次,Next
194,夜,Night
195,姉,Older Sister
196,点,Point
197,安,Relax
198,室,Room
199,海,Sea
200,羊,Sheep
201,店,Shop
202,南,South
203,星,Star
204,州,State
205,茶,Tea
206,思,Think
207,歩,Walk
208,向,Yonder
209,妹,Younger Sister
210,辺,Area
211,付,Attach
212,札,Bill
213,鳥,Bird
214,黒,Black
215,船,Boat
216,必,Certain
217,末,End
218,氏,Family Name
219,失,Fault
220,魚,Fish
221,以,From
222,組,Group
223,家,House
224,欠,Lack
225,未,Not Yet
226,紙,Paper
227,通,Pass Through
228,民,Peoples
229,由,Reason
230,理,Reason
231,校,School
232,雪,Snow
233,強,Strong
234,夏,Summer
235,高,Tall
236,教,Teach
237,時,Time
238,弱,Weak
239,週,Week
240,風,Wind
241,記,Write Down
242,黄,Yellow
243,答,Answer
244,反,Anti
245,君,Buddy
246,局,Bureau
247,買,Buy
248,雲,Cloud
249,楽,Comfort
250,数,Count
251,決,Decide
252,絵,Drawing
253,住,Dwelling
254,電,Electricity
255,森,Forest
256,助,Help
257,馬,Horse
258,間,Interval
259,場,Location
260,医,Medicine
261,朝,Morning
262,番,Number In A Series
263,所,Place
264,池,Pond
265,究,Research
266,道,Road
267,役,Service
268,研,Sharpen
269,身,Somebody
270,者,Someone
271,支,Support
272,話,Talk
273,投,Throw
274,対,Versus
275,受,Accept
276,事,Action
277,美,Beauty
278,予,Beforehand
279,服,Clothes
280,度,Degrees
281,発,Departure
282,定,Determine
283,談,Discuss
284,表,Express
285,客,Guest
286,重,Heavy
287,持,Hold
288,負,Lose
289,相,Mutual
290,要,Need
291,新,New
292,部,Part
293,和,Peace
294,県,Prefecture
295,保,Preserve
296,返,Return
297,乗,Ride
298,屋,Roof
299,売,Sell
300,送,Send
301,苦,Suffering
302,泳,Swim
303,仮,Temporary
304,験,Test
305,物,Thing
306,具,Tool
307,実,Truth
308,試,Try
309,使,Use
310,勝,Win
311,界,World
312,進,Advance
313,酒,Alcohol
314,始,Begin
315,業,Business
316,算,Calculate
317,運,Carry
318,漢,Chinese
319,鳴,Chirp
320,集,Collect
321,配,Distribute
322,飲,Drink
323,終,End
324,顔,Face
325,落,Fall
326,農,Farming
327,速,Fast
328,頭,Head
329,聞,Hear
330,院,Institution
331,調,Investigate
332,鉄,Iron
333,語,Language
334,葉,Leaf
335,習,Learn
336,軽,Lightweight
337,線,Line
338,最,Most
339,開,Open
340,親,Parent
341,読,Read
342,求,Request
343,転,Revolve
344,路,Road
345,病,Sick
346,横,Side
347,歌,Song
348,起,Wake Up
349,功,Achievement
350,成,Become
351,岸,Coast
352,競,Compete
353,争,Conflict
354,便,Convenience
355,老,Elderly
356,命,Fate
357,指,Finger
358,初,First
359,味,Flavor
360,追,Follow
361,神,God
362,良,Good
363,意,Idea
364,労,Labor
365,級,Level
366,好,Like
367,昔,Long Ago
368,低,Low
369,育,Nurture
370,令,Orders
371,拾,Pick Up
372,注,Pour
373,利,Profit
374,位,Rank
375,仲,Relationship
376,放,Release
377,秒,Second
378,別,Separate
379,特,Special
380,共,Together
381,努,Toil
382,伝,Transmit
383,戦,War
384,波,Wave
385,洋,Western Style
386,働,Work
387,悪,Bad
388,息,Breath
389,章,Chapter
390,登,Climb
391,寒,Cold
392,深,Deep
393,倍,Double
394,勉,Exertion
395,消,Extinguish
396,祭,Festival
397,野,Field
398,階,Floor
399,庭,Garden
400,港,Harbor
401,暑,Hot
402,湯,Hot Water
403,僕,I
404,島,Island
405,童,Juvenile
406,員,Member
407,商,Merchandise
408,都,Metropolis
409,動,Move
410,第,Ordinal Number Prefix
411,期,Period Of Time
412,植,Plant
413,根,Root
414,短,Short
415,球,Sphere
416,泉,Spring
417,流,Stream
418,合,Suit
419,陽,Sunshine
420,歯,Tooth
421,族,Tribe
422,旅,Trip
423,待,Wait
424,温,Warm
425,着,Wear
426,皆,All
427,謝,Apologize
428,整,Arrange
429,橋,Bridge
430,選,Choose
431,想,Concept
432,器,Container
433,暗,Dark
434,疑,Doubt
435,料,Fee
436,感,Feeling
437,情,Feeling
438,様,Formal Name Title
439,養,Foster
440,緑,Green
441,熱,Heat
442,億,Hundred Million
443,殺,Kill
444,宿,Lodge
445,福,Luck
446,鏡,Mirror
447,然,Nature
448,詩,Poem
449,練,Practice
450,賞,Prize
451,問,Problem
452,館,Public Building
453,映,Reflect
454,願,Request
455,士,Samurai
456,課,Section
457,標,Signpost
458,銀,Silver
459,駅,Station
460,像,Statue
461,題,Topic
462,輪,Wheel
463,能,Ability
464,芸,Acting
465,術,Art
466,雰,Atmosphere
467,骨,Bone
468,束,Bundle
469,周,Circumference
470,協,Cooperation
471,例,Example
472,折,Fold
473,基,Foundation
474,性,Gender
475,妥,Gentle
476,卒,Graduate
477,固,Hard
478,望,Hope
479,材,Lumber
480,参,Participate
481,完,Perfect
482,松,Pine
483,約,Promise
484,残,Remainder
485,季,Seasons
486,技,Skill
487,格,Status
488,頑,Stubborn
489,囲,Surround
490,的,Target
491,念,Thought
492,希,Wish
493,紀,Account
494,軍,Army
495,秋,Autumn
496,信,Believe
497,岩,Boulder
498,仏,Buddha
499,建,Build
500,猫,Cat
501,変,Change
502,晴,Clear Up
503,築,Construct
504,勇,Courage
505,泣,Cry
506,司,Director
507,区,District
508,英,England
509,丈,Height
510,夫,Husband
511,飯,Meal
512,計,Measure
513,法,Method
514,晩,Night
515,昼,Noon
516,毒,Poison
517,昨,Previous
518,帰,Return
519,式,Ritual
520,列,Row
521,浅,Shallow
522,単,Simple
523,坂,Slope
524,春,Spring
525,寺,Temple
526,浴,Bathe
527,箱,Box
528,係,Connection
529,治,Cure
530,危,Dangerous
531,冒,Dare
532,留,Detain
533,弁,Dialect
534,証,Evidence
535,存,Exist
536,面,Face
537,遠,Far
538,園,Garden
539,門,Gates
540,府,Government
541,幸,Happiness
542,阪,Heights
543,急,Hurry
544,笑,Laugh
545,荷,Luggage
546,政,Politics
547,品,Product
548,守,Protect
549,辞,Quit
550,真,Reality
551,関,Related
552,険,Risky
553,典,Rule
554,専,Specialty
555,冗,Superfluous
556,取,Take
557,曜,Weekday
558,書,Write
559,是,Absolutely
560,結,Bind
561,底,Bottom
562,因,Cause
563,詳,Detailed
564,識,Discerning
565,劇,Drama
566,干,Dry
567,敗,Failure
568,渉,Ford
569,果,Fruit
570,官,Government
571,署,Government Office
572,察,Guess
573,堂,Hall
574,幻,Illusion
575,非,Injustice
576,愛,Love
577,薬,Medicine
578,覚,Memorize
579,鼻,Nose
580,無,Nothing
581,常,Normal
582,原,Original
583,栄,Prosper
584,喜,Rejoice
585,恋,Romance
586,悲,Sad
587,塩,Salt
588,席,Seat
589,側,Side
590,兵,Soldier
591,説,Theory
592,細,Thin
593,梅,Ume
594,虚,Void
595,警,Warn
596,告,Announce
597,達,Attain
598,焼,Bake
599,借,Borrow
600,弓,Bow
601,脳,Brain
602,飴,Candy
603,胸,Chest
604,喫,Consume
605,等,Equal
606,枚,Flat Objects Counter
607,忘,Forget
608,訓,Instruction
609,種,Kind
610,報,News
611,句,Paragraph
612,許,Permit
613,可,Possible
614,祈,Pray
615,僧,Priest
616,禁,Prohibit
617,静,Quiet
618,座,Sit
619,煙,Smoke
620,汽,Steam
621,叩,Strike
622,喉,Throat
623,類,Type
624,洗,Wash
625,禅,Zen
626,得,Acquire
627,加,Add
628,冊,Book Counter
629,履,Boots
630,忙,Busy
631,閥,Clique
632,布,Cloth
633,比,Compare
634,歴,Continuation
635,続,Continue
636,減,Decrease
637,易,Easy
638,絡,Entangle
639,笛,Flute
640,容,Form
641,団,Group
642,史,History
643,昆,Insect
644,徒,Junior
645,宙,Midair
646,混,Mix
647,善,Morally Good
648,順,Order
649,宇,Outer Space
650,詞,Part Of Speech
651,改,Renew
652,乱,Riot
653,節,Season
654,連,Take Along
655,舌,Tongue
656,暴,Violence
657,財,Wealth
658,若,Young
659,責,Blame
660,条,Clause
661,済,Come To An End
662,委,Committee
663,省,Conserve
664,制,Control
665,批,Criticism
666,断,Cut Off
667,任,Duty
668,素,Element
669,敵,Enemy
670,羨,Envy
671,設,Establish
672,評,Evaluate
673,検,Examine
674,岡,Hill
675,増,Increase
676,査,Inspect
677,判,Judge
678,審,Judge
679,件,Matter
680,際,Occasion
681,企,Plan
682,挙,Raise
683,認,Recognize
684,資,Resources
685,義,Righteousness
686,権,Rights
687,派,Sect
688,務,Task
689,税,Tax
690,解,Untie
691,総,Whole
692,援,Aid
693,態,Appearance
694,誕,Birth
695,状,Condition
696,賀,Congratulations
697,各,Each
698,費,Expense
699,姿,Figure
700,勢,Force
701,諦,Give Up
702,示,Indicate
703,寝,Lie Down
704,営,Manage
705,坊,Monk
706,罰,Penalty
707,策,Plan
708,案,Plan
709,提,Present
710,置,Put
711,域,Region
712,応,Respond
713,宮,Shinto Shrine
714,袖,Sleeve
715,吸,Suck
716,過,Surpass
717,領,Territory
718,脱,Undress
719,統,Unite
720,価,Value
721,値,Value
722,副,Vice
723,観,View
724,藤,Wisteria
725,呼,Call
726,崎,Cape
727,施,Carry Out
728,城,Castle
729,護,Defend
730,鬼,Demon
731,割,Divide
732,職,Employment
733,秀,Excel
734,俳,Haiku
735,停,Halt
736,宅,House
737,裁,Judge
738,律,Law
739,導,Lead
740,革,Leather
741,贅,Luxury
742,乳,Milk
743,収,Obtain
744,演,Perform
745,現,Present Time
746,備,Provide
747,則,Rule
748,規,Standard
749,準,Standard
750,張,Stretch
751,優,Superior
752,沢,Swamp
753,師,Teacher
754,幹,Tree Trunk
755,看,Watch Over
756,庁,Agency
757,額,Amount
758,腕,Arm
759,境,Boundary
760,燃,Burn
761,担,Carry
762,祝,Celebrate
763,届,Deliver
764,違,Different
765,差,Distinction
766,象,Elephant
767,展,Expand
768,層,Layer
769,視,Look At
770,環,Loop
771,製,Manufacture
772,述,Mention
773,武,Military
774,型,Model
775,狭,Narrow
776,管,Pipe
777,載,Publish
778,質,Quality
779,量,Quantity
780,販,Sell
781,供,Servant
782,肩,Shoulder
783,株,Stocks
784,触,Touch
785,輸,Transport
786,腰,Waist
787,慣,Accustomed
788,居,Alive
789,逮,Apprehend
790,票,Ballot
791,属,Belong
792,捉,Catch
793,捕,Catch
794,候,Climate
795,輩,Comrade
796,況,Condition
797,響,Echo
798,効,Effective
799,抜,Extract
800,鮮,Fresh
801,満,Full
802,与,Give
803,掛,Hang
804,隠,Hide
805,模,Imitation
806,含,Include
807,訟,Lawsuit
808,限,Limit
809,肥,Obese
810,豊,Plentiful
811,替,Replace
812,景,Scene
813,巻,Scroll
814,捜,Search
815,構,Set Up
816,影,Shadow
817,絞,Strangle
818,訴,Sue
819,補,Supplement
820,渡,Transit
821,接,Adjoin
822,再,Again
823,独,Alone
824,獣,Beast
825,菓,Cake
826,討,Chastise
827,故,Circumstance
828,較,Contrast
829,造,Create
830,創,Create
831,往,Depart
832,励,Encourage
833,激,Fierce
834,占,Fortune
835,障,Hinder
836,我,I
837,徴,Indication
838,授,Instruct
839,鉛,Lead
840,郵,Mail
841,針,Needle
842,従,Obey
843,豚,Pork
844,復,Restore
845,河,River
846,貯,Savings
847,印,Seal
848,振,Shake
849,刺,Stab
850,突,Stab
851,怪,Suspicious
852,汗,Sweat
853,筆,Writing Brush
854,怒,Angry
855,昇,Ascend
856,迷,Astray
857,招,Beckon
858,腹,Belly
859,睡,Drowsy
860,康,Ease
861,端,Edge
862,極,Extreme
863,郎,Guy
864,健,Healthy
865,誘,Invite
866,貸,Lend
867,惑,Misguided
868,痛,Pain
869,退,Retreat
870,途,Route
871,給,Salary
872,就,Settle In
873,靴,Shoes
874,眠,Sleep
875,暇,Spare Time
876,段,Steps
877,胃,Stomach
878,症,Symptom
879,濃,Thick
880,締,Tighten
881,迫,Urge
882,訪,Visit
883,織,Weave
884,悩,Worry
885,屈,Yield
886,攻,Aggression
887,撃,Attack
888,浜,Beach
889,綺,Beautiful
890,益,Benefit
891,児,Child
892,憲,Constitution
893,冷,Cool
894,処,Deal With
895,微,Delicate
896,修,Discipline
897,博,Exhibition
898,程,Extent
899,絶,Extinction
900,凍,Frozen
901,巨,Giant
902,稚,Immature
903,幼,Infancy
904,並,Line Up
905,麗,Lovely
906,奇,Odd
907,衆,Populace
908,潔,Pure
909,清,Pure
910,録,Record
911,逆,Reverse
912,移,Shift
913,精,Spirit
914,隊,Squad
915,庫,Storage
916,妙,Strange
917,券,Ticket
918,傘,Umbrella
919,婦,Wife
920,略,Abbreviation
921,積,Accumulate
922,添,Append
923,寄,Approach
924,宴,Banquet
925,板,Board
926,壊,Break
927,督,Coach
928,僚,Colleague
929,杯,Cup Of Liquid
930,娘,Daughter
931,診,Diagnose
932,乾,Dry
933,欧,Europe
934,恐,Fear
935,猛,Fierce
936,江,Inlet
937,韓,Korea
938,雄,Male
939,航,Navigation
940,監,Oversee
941,宗,Religion
942,請,Request
943,怖,Scary
944,索,Search
945,臣,Servant
946,催,Sponsor
947,街,Street
948,詰,Stuffed
949,緊,Tense
950,閣,The Cabinet
951,促,Urge
952,烈,Violent
953,帯,Belt
954,廊,Corridor
955,離,Detach
956,径,Diameter
957,融,Dissolve
958,均,Equal
959,除,Exclude
960,貨,Freight
961,孫,Grandchild
962,墓,Grave
963,幾,How Many
964,尋,Inquire
965,編,Knit
966,陸,Land
967,探,Look For
968,豪,Luxurious
969,鑑,Model
970,泥,Mud
971,巣,Nest
972,普,Normal
973,棒,Pole
974,粉,Powder
975,既,Previously
976,救,Rescue
977,似,Resemble
978,富,Rich
979,散,Scatter
980,華,Showy
981,嘆,Sigh
982,偵,Spy
983,驚,Surprised
984,掃,Sweep
985,菜,Vegetable
986,脈,Vein
987,徳,Virtue
988,倉,Warehouse
989,酸,Acid
990,賛,Agree
991,祖,Ancestor
992,銭,Coin
993,込,Crowded
994,衛,Defense
995,机,Desk
996,汚,Dirty
997,飼,Domesticate
998,複,Duplicate
999,染,Dye
1000,卵,Egg
1001,永,Eternity
1002,績,Exploits
1003,眼,Eyeball
1004,液,Fluid
1005,採,Gather
1006,志,Intention
1007,興,Interest
1008,恩,Kindness
1009,久,Long Time
1010,党,Party
1011,序,Preface
1012,雑,Random
1013,桜,Sakura
1014,密,Secrecy
1015,秘,Secret
1016,厳,Strict
1017,捨,Throw Away
1018,訳,Translation
1019,欲,Want
1020,暖,Warm
1021,迎,Welcome
1022,傷,Wound
1023,灰,Ashes
1024,装,Attire
1025,著,Author
1026,裏,Backside
1027,閉,Closed
1028,垂,Dangle
1029,漠,Desert
1030,異,Differ
1031,皇,Emperor
1032,拡,Extend
1033,暮,Livelihood
1034,忠,Loyalty
1035,肺,Lung
1036,誌,Magazine
1037,操,Manipulate
1038,筋,Muscle
1039,否,No
1040,盛,Pile
1041,宣,Proclaim
1042,賃,Rent
1043,敬,Respect
1044,尊,Revered
1045,熟,Ripen
1046,噂,Rumor
1047,砂,Sand
1048,簡,Simplicity
1049,蒸,Steam
1050,蔵,Storehouse
1051,糖,Sugar
1052,納,Supply
1053,諸,Various
1054,窓,Window
1055,豆,Beans
1056,枝,Branch
1057,揮,Brandish
1058,刻,Carve
1059,爪,Claw
1060,承,Consent
1061,幕,Curtain
1062,紅,Deep Red
1063,歓,Delight
1064,降,Descend
1065,奴,Dude
1066,聖,Holy
1067,推,Infer
1068,臓,Internal Organs
1069,損,Loss
1070,磁,Magnet
1071,誤,Mistake
1072,源,Origin
1073,芋,Potato
1074,純,Pure
1075,薦,Recommend
1076,丼,Rice Bowl
1077,腐,Rot
1078,沿,Run Alongside
1079,射,Shoot
1080,縮,Shrink
1081,隷,Slave
1082,粋,Stylish
1083,痩,Thin
1084,吐,Throw Up
1085,貴,Valuable
1086,縦,Vertical
1087,勤,Work
1088,拝,Worship
1089,熊,Bear
1090,噌,Boisterous
1091,彫,Carve
1092,杉,Cedar
1093,喋,Chat
1094,銅,Copper
1095,舎,Cottage
1096,酔,Drunk
1097,炎,Flame
1098,彼,He
1099,紹,Introduce
1100,介,Jammed In
1101,湖,Lake
1102,講,Lecture
1103,寿,Lifespan
1104,測,Measure
1105,互,Mutual
1106,油,Oil
1107,己,Oneself
1108,払,Pay
1109,鍋,Pot
1110,獄,Prison
1111,為,Sake
1112,恥,Shame
1113,遅,Slow
1114,汁,Soup
1115,醤,Soy Sauce
1116,滞,Stagnate
