上	Above
下	Below
大	Big
工	Construction
八	Eight
入	Enter
山	Mountain
口	Mouth
九	Nine
一	One
人	Person
力	Power
川	River
七	Seven
十	Ten
三	Three
二	Two
女	Woman
又	Again
玉	Ball
本	Book
子	Child
丸	Circle
正	Correct
土	Dirt
犬	Dog
夕	Evening
出	Exit
目	Eye
了	Finish
火	Fire
五	Five
四	Four
才	Genius
手	Hand
天	Heaven
王	King
左	Left
中	Middle
月	Moon
々	Repeater
田	Rice Paddy
右	Right
六	Six
小	Small
立	Stand
丁	Street
日	Sun
刀	Sword
千	Thousand
木	Tree
水	Water
白	White
文	Writing
円	Yen
矢	Arrow
市	City
牛	Cow
切	Cut
方	Direction
戸	Door
太	Fat
父	Father
少	Few
友	Friend
毛	Fur
半	Half
心	Heart
内	Inside
生	Life
台	Machine
母	Mother
午	Noon
北	North
今	Now
古	Old
元	Origin
外	Outside
分	Part
公	Public
引	Pull
止	Stop
用	Task
万	Ten Thousand
広	Wide
冬	Winter
竹	Bamboo
車	Car
央	Center
写	Copy
仕	Doing
耳	Ear
早	Early
気	Energy
平	Flat
花	Flower
足	Foot
打	Hit
百	Hundred
氷	Ice
虫	Insect
字	Letter
男	Man
主	Master
名	Name
不	Not
号	Number
他	Other
去	Past
皿	Plate
先	Previous
赤	Red
休	Rest
申	Say Humbly
見	See
貝	Shellfish
石	Stone
代	Substitute
礼	Thanks
糸	Thread
町	Town
宝	Treasure
村	Village
世	World
年	Year
角	Angle
斤	Axe
青	Blue
体	Body
色	Color
来	Come
社	Company
当	Correct
図	Diagram
毎	Every
羽	Feather
林	Forest
行	Go
金	Gold
草	Grass
里	Hometown
作	Make
多	Many
肉	Meat
会	Meet
交	Mix
近	Near
兄	Older Brother
雨	Rain
米	Rice
走	Run
同	Same
言	Say
自	Self
形	Shape
皮	Skin
空	Sky
音	Sound
学	Study
光	Sunlight
考	Think
回	Times
谷	Valley
声	Voice
西	West
何	What
麦	Wheat
弟	Younger Brother
全	All
後	Behind
血	Blood
両	Both
明	Bright
京	Capital
化	Change
国	Country
科	Course
死	Death
亡	Death
画	Drawing
地	Earth
東	East
食	Eat
直	Fix
前	Front
有	Have
私	I
知	Know
活	Lively
長	Long
曲	Music
首	Neck
次	Next
夜	Night
姉	Older Sister
点	Point
安	Relax
室	Room
海	Sea
羊	Sheep
店	Shop
南	South
星	Star
州	State
茶	Tea
思	Think
歩	Walk
向	Yonder
妹	Younger Sister
辺	Area
付	Attach
札	Bill
鳥	Bird
黒	Black
船	Boat
必	Certain
末	End
氏	Family Name
失	Fault
魚	Fish
以	From
組	Group
家	House
欠	Lack
未	Not Yet
紙	Paper
通	Pass Through
民	Peoples
由	Reason
理	Reason
校	School
雪	Snow
強	Strong
夏	Summer
高	Tall
教	Teach
時	Time
弱	Weak
週	Week
風	Wind
記	Write Down
黄	Yellow
答	Answer
反	Anti
君	Buddy
局	Bureau
買	Buy
雲	Cloud
楽	Comfort
数	Count
決	Decide
絵	Drawing
住	Dwelling
電	Electricity
森	Forest
助	Help
馬	Horse
間	Interval
場	Location
医	Medicine
朝	Morning
番	Number In A Series
所	Place
池	Pond
究	Research
道	Road
役	Service
研	Sharpen
身	Somebody
者	Someone
支	Support
話	Talk
投	Throw
対	Versus
受	Accept
事	Action
美	Beauty
予	Beforehand
服	Clothes
度	Degrees
発	Departure
定	Determine
談	Discuss
表	Express
客	Guest
重	Heavy
持	Hold
負	Lose
相	Mutual
要	Need
新	New
部	Part
和	Peace
県	Prefecture
保	Preserve
返	Return
乗	Ride
屋	Roof
売	Sell
送	Send
苦	Suffering
泳	Swim
仮	Temporary
験	Test
物	Thing
具	Tool
実	Truth
試	Try
使	Use
勝	Win
界	World
進	Advance
酒	Alcohol
始	Begin
業	Business
算	Calculate
運	Carry
漢	Chinese
鳴	Chirp
集	Collect
配	Distribute
飲	Drink
終	End
顔	Face
落	Fall
農	Farming
速	Fast
頭	Head
聞	Hear
院	Institution
調	Investigate
鉄	Iron
語	Language
葉	Leaf
習	Learn
軽	Lightweight
線	Line
最	Most
開	Open
親	Parent
読	Read
求	Request
転	Revolve
路	Road
病	Sick
横	Side
歌	Song
起	Wake Up
功	Achievement
成	Become
岸	Coast
競	Compete
争	Conflict
便	Convenience
老	Elderly
命	Fate
指	Finger
初	First
味	Flavor
追	Follow
神	God
良	Good
意	Idea
労	Labor
級	Level
好	Like
昔	Long Ago
低	Low
育	Nurture
令	Orders
拾	Pick Up
注	Pour
利	Profit
位	Rank
仲	Relationship
放	Release
秒	Second
別	Separate
特	Special
共	Together
努	Toil
伝	Transmit
戦	War
波	Wave
